DATE,WIND,RAIN,T.MAX,T.MIN
01-01-2020,13.67,0.2,9.5,3.7
02-01-2020,11.5,5.1,7.2,4.2
03-01-2020,11.25,0.4,5.5,0.5
04-01-2020,8.63,0.2,5.6,0.4
05-01-2020,11.92,10.4,7.2,-1.5
06-01-2020,10.67,0,6.5,1.2
07-01-2020,9.17,1.9,9.2,-2.4
08-01-2020,14.29,0,6.6,3.1
09-01-2020,8.04,8.3,6.8,2.4
10-01-2020,11.42,0,6.5,3
11-01-2020,7.54,0.5,10,-3.1
12-01-2020,15.54,6,12.2,-3.3
13-01-2020,4.63,0,13.1,5.5
14-01-2020,3.08,0,5.6,-3.2
15-01-2020,2.5,0,4.4,-5
16-01-2020,9.25,0,4.6,-4.2
17-01-2020,13.42,2,9.3,3.2
18-01-2020,17.83,8.4,10.1,4.3
19-01-2020,3.71,0.9,6.6,1.6
20-01-2020,3.17,21.5,9.3,-0.6
21-01-2020,8.04,0.2,10.1,1.6
22-01-2020,9.38,0.3,6.5,5.5
23-01-2020,13.7,0,6.5,5.5
24-01-2020,20.38,9.5,5.3,3.4
25-01-2020,9.25,0,4.3,2.2
26-01-2020,14.33,0.7,13,2.2
27-01-2020,16.79,1.5,12.3,3.7
28-01-2020,12.25,2.8,12,4.8
29-01-2020,22,6.2,12.6,4.4
30-01-2020,14.5,1.4,7.8,3.7
31-01-2020,14.88,4.7,7.2,2.1
01-02-2020,10.17,2.1,8.7,1
02-02-2020,10.88,0.1,8.1,1
03-02-2020,8.5,4,8.1,-0.6
04-02-2020,12.54,5.7,11.3,0
05-02-2020,13.96,8.6,13.5,4.7
06-02-2020,19.17,0.5,7.8,2.1
07-02-2020,14.21,0.3,11.6,3.2
08-02-2020,16.5,4.4,14.6,4.4
09-02-2020,14.37,0.3,11.7,6.4
10-02-2020,11.08,0.8,10.7,7.3
11-02-2020,17.5,3.5,11.3,7.3
12-02-2020,11.71,0,15.5,7.1
13-02-2020,16.08,0,12.7,8.8
14-02-2020,15.46,0,13.3,10
15-02-2020,5.17,0,13.8,2.5
16-02-2020,3.42,0,12.1,2.5
17-02-2020,6.17,0,11.7,4.4
18-02-2020,10.88,0,13.3,6
19-02-2020,9.62,0,14.5,8.2
20-02-2020,7.25,0,13.1,5.3
21-02-2020,3.75,0,8.6,4.7
22-02-2020,8.25,0,7.5,5.1
23-02-2020,16.38,4.6,8.8,5.1
24-02-2020,8.17,0.7,11,6.1
25-02-2020,13.08,3.2,9.8,2.7
26-02-2020,21.17,2.1,14.5,5.2
27-02-2020,12.75,3.1,10.1,4.8
28-02-2020,14.75,1,10.6,3.8
01-03-2020,10.25,0.7,12.7,8.1
02-03-2020,10.88,0,12.2,7.2
03-03-2020,11.29,0,12.2,3
04-03-2020,6.21,0,11.8,2.8
05-03-2020,5.5,0,17.2,0
06-03-2020,2.83,0,14.4,4.3
07-03-2020,3.63,0,14.7,6
08-03-2020,1.71,0,15.1,4.4
09-03-2020,3.75,0,14.2,6.1
10-03-2020,8.79,0,11.8,6.7
11-03-2020,10.34,0,14.6,5.7
12-03-2020,17.12,0.1,13.4,4.8
13-03-2020,13.96,0,15.5,10.5
14-03-2020,8.12,0,15.5,9.5
15-03-2020,11.54,0,16.2,7.1
16-03-2020,2.75,0,18.8,2.2
17-03-2020,13,0,9.7,2.1
18-03-2020,13.17,0.5,10.2,2.8
19-03-2020,7.75,0,9.6,3.3
20-03-2020,15.41,0,11.8,2.3
21-03-2020,8.17,0,10.3,1.7
22-03-2020,8,0,12.7,3.1
23-03-2020,10.88,0,9.4,5.5
24-03-2020,8.46,0,14.5,6.1
25-03-2020,10.75,0,12.2,3.2
26-03-2020,13.75,0.3,11.8,8.4
27-03-2020,6.75,0,11.7,-0.8
28-03-2020,10.88,1.1,13.3,0.4
29-03-2020,16.62,1.8,14.7,7.5
30-03-2020,14.79,1.8,13.8,9.5
31-03-2020,11.92,1.1,14.5,7.1
01-04-2020,11.67,2.5,13.7,8.8
02-04-2020,5.25,0,10.3,5.2
03-04-2020,5.5,2.6,6.6,3.4
04-04-2020,6,9.6,10.8,3.8
05-04-2020,9.25,4.2,14.3,4.7
06-04-2020,5,0,11.8,8
07-04-2020,5.33,0,10.2,1.1
08-04-2020,8.71,8.1,12.1,3.8
09-04-2020,9.96,1.9,12,8.8
10-04-2020,5.21,1.9,14.4,9.4
11-04-2020,5.66,5.8,16.1,3.7
12-04-2020,6.54,7.8,13.7,10.4
13-04-2020,8,0.1,15,9
14-04-2020,4.29,0.5,14.6,7
15-04-2020,2.46,0,12.7,3.4
16-04-2020,2.88,0,12.2,2.3
17-04-2020,4.46,0,15.5,3.8
18-04-2020,5.66,0.2,10.7,6.7
19-04-2020,12.96,3.7,11.6,7.6
20-04-2020,12.25,1,12.4,7.5
21-04-2020,9.5,3.6,16.4,8.4
22-04-2020,7.46,11,12.6,9.3
23-04-2020,10.71,1.8,12.8,6.7
24-04-2020,5.25,2.8,13.8,2.4
25-04-2020,13.75,17.2,12.8,7.7
26-04-2020,6,0,16.2,6.7
27-04-2020,6.25,0,16.8,7.2
28-04-2020,2.67,0,15.5,2.7
29-04-2020,4.04,4,15.7,7.1
30-04-2020,5.09,1.6,16.5,9
01-05-2020,9.96,7.3,19.2,8.2
02-05-2020,10.46,3.4,13,7.7
03-05-2020,9.5,0.4,15.5,7.4
04-05-2020,5.96,2,16.7,10.5
05-05-2020,9.13,0.7,16.1,6.2
06-05-2020,16.83,0.8,15.5,9.2
07-05-2020,18.21,2.3,13.3,6.8
08-05-2020,18.58,0,15,7.2
09-05-2020,7.25,0,16.7,5.4
10-05-2020,3.33,0,17.1,2.1
11-05-2020,3.67,0,19.7,2.2
12-05-2020,5.17,0,19.8,6.5
13-05-2020,5.21,0.2,22.1,5.1
14-05-2020,10.04,1.4,15.7,10.2
15-05-2020,5.91,0,14.7,9
16-05-2020,8.38,0,13.1,8.8
17-05-2020,5.83,0,13.4,3
18-05-2020,5.04,0,12.7,4.3
19-05-2020,6.83,0,14.6,5
20-05-2020,4.71,0,14.7,9
21-05-2020,3.17,0,15.2,3.4
22-05-2020,2.42,0,14.4,6.2
23-05-2020,3.13,0,14.5,9.4
24-05-2020,4,0.2,14.6,10.4
25-05-2020,6.79,1.6,12.7,8.1
26-05-2020,9.33,0,10.6,4.6
27-05-2020,4.92,0,12.5,3.2
28-05-2020,5.41,0,14,1
29-05-2020,11.71,1.8,13.3,9.2
30-05-2020,5.83,0,14.2,10
31-05-2020,6.58,0,17,7.8
01-06-2020,9.75,0,17,5
02-06-2020,7.92,0,17.8,10.5
03-06-2020,10.41,0,18.7,11.7
04-06-2020,6.21,0,20.8,11.3
05-06-2020,3.42,9.4,17,12.7
06-06-2020,4.21,0.3,16.7,11.5
07-06-2020,8.17,4.8,17.7,8.8
08-06-2020,9.54,0.7,15.5,7.6
09-06-2020,8.29,1.8,17.2,6.1
10-06-2020,9.71,1.6,15.7,10.4
11-06-2020,6.25,3.6,16.6,9
12-06-2020,9.17,1,13.6,10.5
13-06-2020,4.67,0.2,18,6.2
14-06-2020,5.66,1.2,18.8,6.4
15-06-2020,8.25,0.1,18.8,13.1
16-06-2020,10.54,0.2,19.6,7.7
17-06-2020,12.96,0.8,20,15
18-06-2020,13.7,0,17.6,9.5
19-06-2020,10.37,0,17.3,8.7
20-06-2020,7.92,0,16.6,8.7
21-06-2020,10.54,1.6,19.4,7.2
22-06-2020,13.29,0,18.5,11.6
23-06-2020,14.21,0,22.4,11.6
24-06-2020,14.88,0,23,11.5
25-06-2020,11.87,2.8,21.6,12.1
26-06-2020,8.38,0,15.2,11.6
27-06-2020,10.54,0,16.7,6.1
28-06-2020,8.79,0,19.5,8.1
29-06-2020,8.33,0,22.2,11.1
30-06-2020,4.92,0,23.4,11.6
01-07-2020,6.71,0,19.4,15.5
02-07-2020,5.83,0,20.1,12.1
03-07-2020,15.75,0.6,18.3,9.5
04-07-2020,14.92,0,18.2,10.6
05-07-2020,10.08,0,20,7.1
06-07-2020,7.08,0.1,20.2,8
07-07-2020,14.54,0.2,21.2,13.6
08-07-2020,14.04,0,18.3,14.4
09-07-2020,9.46,6.4,18.4,12.3
10-07-2020,2.67,6.6,17.3,12.2
11-07-2020,7.41,5.4,17.4,12.8
12-07-2020,9.08,0.4,19,13.3
13-07-2020,16.83,21.4,13.8,9
14-07-2020,11.83,0.1,17.4,8.3
15-07-2020,10.25,2.6,18.8,7.6
16-07-2020,13.13,0.1,15.6,11
17-07-2020,7.08,0,19.7,10.5
18-07-2020,4.96,0,19.3,10.5
19-07-2020,3.5,0,18.7,7.6
20-07-2020,3.04,0,18.3,12.1
21-07-2020,2.21,0,16,11.7
22-07-2020,4.75,0,17.1,8.1
23-07-2020,2.21,0,17.3,10
24-07-2020,3.58,0,18.3,11.1
25-07-2020,12.29,1.6,20.6,11.6
26-07-2020,18.79,0,17.5,12.7
27-07-2020,7.87,2.6,16.7,10.2
28-07-2020,9.67,0,17.8,7.7
29-07-2020,5.79,0,18.2,11.2
30-07-2020,6.04,0,21.4,8.2
31-07-2020,3.75,0,17.7,11.7
01-08-2020,4.21,0.7,17.1,7.3
02-08-2020,8.87,0.9,17.8,10.4
03-08-2020,11.92,5.1,19.3,9.1
04-08-2020,13.54,0,20.6,13.4
05-08-2020,10.54,0,19.5,7.6
06-08-2020,7.87,0.1,18.3,13.1
07-08-2020,3.88,15,14.4,6.1
08-08-2020,10.63,1.1,19,10
09-08-2020,11.25,1.9,18.3,10.4
10-08-2020,4.67,1.2,16.6,9
11-08-2020,6.83,0.2,16.6,8.8
12-08-2020,6.83,0.8,19.1,5.6
13-08-2020,10.92,0.1,18.4,11.2
14-08-2020,15.09,0.4,18.8,11.6
15-08-2020,9.42,0.3,18.3,12.2
16-08-2020,12.96,0,19,11.1
17-08-2020,10.21,0.4,21.7,11.2
18-08-2020,19.04,0.8,17,12.5
19-08-2020,13.21,0.3,15.6,12
20-08-2020,12.58,9.5,21,11.3
21-08-2020,19,0.2,17.3,13
22-08-2020,12.08,0,17.2,10.5
23-08-2020,8.17,5,21.6,11.6
24-08-2020,5.66,0,18,6.4
25-08-2020,10.92,1.8,19.4,12.8
26-08-2020,9.79,1.1,18.2,8.6
27-08-2020,12.12,0,21.7,12.1
28-08-2020,9.08,0,24.6,12.6
29-08-2020,14.12,0,22.7,17.8
30-08-2020,4.58,0,20,9.4
31-08-2020,2.92,0.1,21.1,5
01-09-2020,4.63,0.1,21,11.1
02-09-2020,3.83,0.1,20.5,12.3
03-09-2020,5.88,0,16.1,13.7
04-09-2020,1.25,0,18.3,14.4
05-09-2020,9.38,0.2,15.6,10.6
06-09-2020,14.09,3.4,16.6,9.6
07-09-2020,7.87,0,15.8,6.7
08-09-2020,3.17,0,17.7,6.6
09-09-2020,6.92,7.9,20.2,5.6
10-09-2020,4.83,0,21.4,13.4
11-09-2020,8.63,2.8,18.2,10.5
12-09-2020,11.08,0.5,19.5,10
13-09-2020,11.75,0.8,19.1,12.6
14-09-2020,12.75,1,19.5,10.4
15-09-2020,13,0.5,19.4,13.1
16-09-2020,20.79,0,19.5,12.7
17-09-2020,7.87,0,20,10.5
18-09-2020,4.17,0.1,18.4,5.1
19-09-2020,8.17,9,21.6,11.6
20-09-2020,4.79,9.8,17.6,11.1
21-09-2020,6.46,0,18.3,13.2
22-09-2020,4.12,0.4,20.7,4.2
23-09-2020,6.08,2.8,20.3,13.3
24-09-2020,5.91,0,16.7,5.7
25-09-2020,8.92,0,15.5,4.6
26-09-2020,12.46,1.2,16.6,12.2
27-09-2020,8.08,32,14.5,8.1
28-09-2020,9.13,6.1,14.4,10.5
29-09-2020,9.21,1.2,16.8,8
30-09-2020,10.96,0,14.8,8.5
01-10-2020,5.83,0.5,16,10.3
02-10-2020,8.71,3.4,17.7,10.4
03-10-2020,4.04,7.3,15.5,13.8
04-10-2020,3.5,4,12.7,6.6
05-10-2020,5.63,1.8,14.7,8.8
06-10-2020,12.96,3,15,11
07-10-2020,6.87,0.6,14.6,4.3
08-10-2020,10.17,1.6,15.1,6.4
09-10-2020,9.04,1.7,17.5,7.8
10-10-2020,11.75,0.9,16.6,10.4
11-10-2020,12.71,0.1,14.3,9
12-10-2020,5.58,0,15.5,2
13-10-2020,9.92,0,17.8,5.7
14-10-2020,2.96,0,15.6,8.8
15-10-2020,9,0,13.8,2.5
16-10-2020,14.58,2.2,12.2,6.5
17-10-2020,22.17,0,12.6,8.8
18-10-2020,21.84,0,12.3,6
19-10-2020,13.21,1.1,9.6,5.7
20-10-2020,12.08,0,10.7,2.5
21-10-2020,7.5,0.3,13.7,5
22-10-2020,17.58,16.7,12.6,8.4
23-10-2020,16.21,6.6,14.5,6
24-10-2020,17.96,5.6,11.5,8.2
25-10-2020,18.34,0.2,11.1,3.2
26-10-2020,9.79,0,13.3,7.4
27-10-2020,7.79,1.6,11.6,4.5
28-10-2020,9.75,0,11.7,3.7
29-10-2020,9.42,0,10.4,1.5
30-10-2020,14.88,0,12.5,5
31-10-2020,15.25,0.5,15.4,8.3
01-11-2020,13.08,0.3,15.4,7.7
02-11-2020,15.83,0.5,11.7,8
03-11-2020,11.21,0,8.2,2.2
04-11-2020,8.5,0,10.6,1.3
05-11-2020,10.79,0.4,13,3
06-11-2020,8.21,0,11.3,6.6
07-11-2020,9.29,4.1,13.2,6.6
08-11-2020,6.58,0,10,2.3
09-11-2020,8.21,0,9.5,-1
10-11-2020,7.71,0.3,6.1,-1.6
11-11-2020,12.12,0,8.6,-1.6
12-11-2020,13.04,0,10.5,0.8
13-11-2020,21.87,0,10.5,3.2
14-11-2020,15.71,0,9.4,8
15-11-2020,6,0,8.7,6.7
16-11-2020,2.29,0.5,8.3,6.1
17-11-2020,3.13,0.4,9.6,6
18-11-2020,9.29,0,9.6,6.1
19-11-2020,9.33,0,9.4,8.4
20-11-2020,13.04,0,9.5,8.4
21-11-2020,7,17.8,10.2,1.1
22-11-2020,9.17,0.7,12.3,1.6
23-11-2020,15.41,0,8.7,2.4
24-11-2020,16.17,0.9,10,3.3
25-11-2020,11.83,0,7.7,2.8
26-11-2020,6.34,8.6,8.1,-0.4
27-11-2020,5.83,1.2,6.8,0
28-11-2020,12.79,0.9,8.3,1.7
29-11-2020,15.29,12.5,12.6,3.5
30-11-2020,16.5,5.8,13.1,6.6
01-12-2020,7.25,0,5.5,4.6
02-12-2020,12.21,3,7.2,0.3
03-12-2020,7.67,3.2,7.4,-3.2
04-12-2020,13.79,8.4,13.1,-2.2
05-12-2020,17.83,0.1,5,0.7
06-12-2020,12.62,0,3.3,-0.4
07-12-2020,8.87,4.5,5.5,-5.4
08-12-2020,19.83,4.2,11.5,-5
09-12-2020,10.04,3.4,13.3,5.1
10-12-2020,18.84,4.6,14,5.1
11-12-2020,25.62,0.4,11.8,9.5
12-12-2020,16.83,3.3,13.4,9.1
13-12-2020,16.66,0.2,13.5,7.8
14-12-2020,9.38,0.1,12.7,-1.1
15-12-2020,10.71,0,13.2,-0.5
16-12-2020,6.92,0,11.2,7.8
17-12-2020,9.54,0,9,4.8
18-12-2020,4.79,0,4.4,-2.7
19-12-2020,3.54,0,2.1,-5
20-12-2020,3.63,0,6.1,-5.5
21-12-2020,4.33,0,6.2,-5
22-12-2020,13.59,0,6.8,-1.6
23-12-2020,18.12,0,5,3.8
24-12-2020,8.5,0,2.6,-0.5
25-12-2020,11.92,0,5,-2.7
26-12-2020,17.12,0,5,0.7
27-12-2020,2.92,0,3.3,-3.2
28-12-2020,8.96,0,3.8,-5.2
29-12-2020,15,0,3,-5
30-12-2020,17.29,0,1.7,0.1
31-12-2020,10.04,1.3,1.5,-11
01-01-2021,10.41,0,1.2,-10.7
02-01-2021,8.46,0,-0.1,-7.8
03-01-2021,4.58,0,1.8,-8.1
04-01-2021,5.5,0,6,-3.8
05-01-2021,15.29,1.8,9.1,-2.3
06-01-2021,8.46,2.1,11.6,4.6
07-01-2021,14.29,0,8.8,4.5
08-01-2021,17.71,6.8,10.8,6.2
09-01-2021,15.29,0,6.2,3.1
10-01-2021,14.29,4.2,12.5,1.7
11-01-2021,25.96,0.7,7.6,2.4
12-01-2021,23.54,0.1,7.6,3.2
13-01-2021,19.7,0,5.5,0
14-01-2021,12.42,0.1,8.6,0.5
15-01-2021,20.38,7.8,11.5,0.8
16-01-2021,19.75,2.7,8.1,2.6
17-01-2021,22.79,1,8.6,2.8
18-01-2021,12.46,0,8.3,1.1
19-01-2021,16.08,1.1,9.8,2.2
20-01-2021,10.29,1.1,11.1,4.2
21-01-2021,17.29,2.4,8.8,5.5
22-01-2021,23.25,0,6.2,1.8
23-01-2021,12.71,2.6,11.2,2.3
24-01-2021,17.25,1,11.7,3.3
25-01-2021,18.29,0,11.3,7.2
26-01-2021,7.41,0.9,8.7,7
27-01-2021,5.17,0,7.7,4.6
28-01-2021,3.63,0,8.2,5.6
29-01-2021,2.17,0,10.2,5.5
30-01-2021,13.33,0.3,11.1,1.1
31-01-2021,22.42,2,12.2,6.1
01-02-2021,15.71,0.3,7.4,1.6
02-02-2021,13.17,0.8,10,2.1
03-02-2021,15.96,0,10.7,3.6
04-02-2021,18.88,4,10.2,3.8
05-02-2021,15.75,0,10.7,3.3
06-02-2021,18.75,2.6,11.6,3.8
07-02-2021,25,1.1,8.5,5.5
08-02-2021,8.21,0.1,10,1.7
09-02-2021,12.08,0,11.2,1.7
10-02-2021,14.96,1.1,10.5,6.8
11-02-2021,24.41,0.4,12.4,1.7
12-02-2021,29.54,0.7,12.5,4.4
13-02-2021,15.79,2.7,6.1,2
14-02-2021,11.71,0,6.8,-1.1
15-02-2021,23.45,2.9,10.7,0.1
16-02-2021,28.84,0,8.8,6.3
17-02-2021,14.12,0,10.5,3.1
18-02-2021,8.29,0,9.8,3.8
19-02-2021,7.92,0,10.8,6.2
20-02-2021,1.46,0,10.6,4.8
21-02-2021,7.04,0,9.5,6.1
22-02-2021,15.29,0,6.6,2.7
23-02-2021,20.21,0,4,3.2
24-02-2021,18.12,0,5.7,2.2
25-02-2021,22.63,0.4,4.6,2.3
26-02-2021,25.62,5.4,2.7,-1
27-02-2021,26.87,0,3.5,-1
28-02-2021,13.88,5.5,3.6,-0.5
01-03-2021,7.96,1.1,3.5,0
02-03-2021,9.59,0.5,5.5,0.1
03-03-2021,6.71,5,1,-6
04-03-2021,5.33,0,3.3,-7.4
05-03-2021,5.79,0,6.1,-6.2
06-03-2021,8,0,6.1,-6.6
07-03-2021,29.58,2.7,5.5,-1.2
08-03-2021,18,13.9,6.2,1.2
09-03-2021,9,6,9.2,2.7
10-03-2021,3.83,7.7,8.3,5.8
11-03-2021,10.92,2.7,5.5,4.5
12-03-2021,7.71,0,6.1,3.1
13-03-2021,6.83,0,5.7,-2.7
14-03-2021,4,0,5.4,-3.8
15-03-2021,16.54,3,5.6,0.2
16-03-2021,12.58,0,6.1,1.7
17-03-2021,7.71,0,7.2,3.5
18-03-2021,5.79,0,11.6,-4.2
19-03-2021,9.04,0,6.7,-0.5
20-03-2021,7.67,0,9.4,-1.6
21-03-2021,6.71,0,6.5,2.2
22-03-2021,5.96,0.5,9.3,-1.5
23-03-2021,9.42,0,6.8,2.5
24-03-2021,3.5,0.2,6.8,2.6
25-03-2021,19.41,2.3,10.2,2.7
26-03-2021,14.88,0.3,12.6,2.8
27-03-2021,9.92,0.2,11.1,1.6
28-03-2021,13.54,4.4,10.1,-2.1
29-03-2021,10.83,1.2,13.6,3.2
30-03-2021,13.75,0.3,9.3,0.8
31-03-2021,16.42,0.4,9.2,-0.1
01-04-2021,19.79,2.7,8.6,1.4
02-04-2021,20.83,5.2,9.8,2.4
03-04-2021,10.67,4,12.1,3.4
04-04-2021,17.83,3.8,10.2,1.7
05-04-2021,22.42,1.7,9.3,4.4
06-04-2021,17.08,1.1,10.8,1.1
07-04-2021,22.5,1.5,13.1,5.4
08-04-2021,18.25,6.1,10.5,2.2
09-04-2021,16.21,3.8,9.4,3
10-04-2021,12.04,1.8,11.1,4.5
11-04-2021,14.12,0.1,12.3,6.6
12-04-2021,3.79,0,10.5,5
13-04-2021,6.58,0,10.6,-1.1
14-04-2021,11.42,0,8.2,1.7
15-04-2021,13.83,0,7.6,1.8
16-04-2021,15.34,0.5,9.1,1.6
17-04-2021,14.83,3.3,9,5.4
18-04-2021,11.71,0.8,8.4,5.7
19-04-2021,6.21,0,12,6.1
20-04-2021,6.17,0.2,12.2,3.3
21-04-2021,3.58,7.4,11.1,3.3
22-04-2021,8.58,0,14.8,0.2
23-04-2021,8.96,0,13.1,6.1
24-04-2021,5.79,0,16.8,7.2
25-04-2021,5.83,0,15,3.3
26-04-2021,7.67,0,15.8,5.8
27-04-2021,6.42,0,13.2,5.1
28-04-2021,5.17,0,15.5,0.7
29-04-2021,5.37,0,13,3.4
30-04-2021,5.41,0,13.6,1.1
01-05-2021,2.25,0,13.8,2
02-05-2021,4,0,15.7,2.8
03-05-2021,3.5,0,15.7,2.7
04-05-2021,5.83,0,16.7,8.8
05-05-2021,8.79,0,15.7,6.4
06-05-2021,4.88,7.9,18.8,8.8
07-05-2021,14.09,0.3,18.6,10.3
08-05-2021,11.34,2,16.7,11.5
09-05-2021,7.04,2.6,13.3,5.5
10-05-2021,5.96,6.9,14.3,5
11-05-2021,11.04,1.6,14,6.2
12-05-2021,10.46,0.3,13.3,6.6
13-05-2021,8.75,0,16.5,3.2
14-05-2021,13.79,0,17.4,10.2
